https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1635552000,2021-10-30 00:00:00,LTC/USDT,196.686,197.28,186.591,190.194,60432.71036748,11584179.48397068438
1635465600,2021-10-29 00:00:00,LTC/USDT,189.8,198.699,188.316,196.685,80059.17484121,15465745.96631901427
1635379200,2021-10-28 00:00:00,LTC/USDT,179.142,194.405,177.611,189.787,99582.68179116,18585855.02818549176
1635292800,2021-10-27 00:00:00,LTC/USDT,197.512,204.861,170.83,179.016,170316.41095414,32075494.11058446053
1635206400,2021-10-26 00:00:00,LTC/USDT,195.443,199.231,190.4,197.413,63203.29845827,12297078.84356498628
1635120000,2021-10-25 00:00:00,LTC/USDT,190.418,197.323,189.651,195.443,50156.04261027,9761042.65537092973
1635033600,2021-10-24 00:00:00,LTC/USDT,196.339,199.953,185.32,190.399,66830.1065044,12874468.42920443546
1634947200,2021-10-23 00:00:00,LTC/USDT,190.977,197.85,188.837,196.339,57923.47088819,11262939.9866624128
1634860800,2021-10-22 00:00:00,LTC/USDT,196.742,201.362,188,191.004,61250.7506743,11964528.88976725481
1634774400,2021-10-21 00:00:00,LTC/USDT,207.37,214.674,195.094,196.798,101217.55564237,20712166.9077218137
1634688000,2021-10-20 00:00:00,LTC/USDT,188.676,209.33,185.66,207.341,89823.30295479,17916466.738375493
1634601600,2021-10-19 00:00:00,LTC/USDT,185.587,191.628,183.228,188.774,45472.44923227,8524042.04600549316
1634515200,2021-10-18 00:00:00,LTC/USDT,183.723,187.536,178.395,185.632,47069.32487146,8673518.42755783311
1634428800,2021-10-17 00:00:00,LTC/USDT,186.09,188.06,176.561,183.767,43300.33122597,7985854.39749453255
1634342400,2021-10-16 00:00:00,LTC/USDT,189.765,192.591,185.051,186.041,49708.81619772,9382054.17314287047
1634256000,2021-10-15 00:00:00,LTC/USDT,181.281,192.962,176.491,189.607,92958.29110195,17289561.79123963114
1634169600,2021-10-14 00:00:00,LTC/USDT,177.666,186.692,176.989,181.337,73796.97925507,13380872.43557568998
1634083200,2021-10-13 00:00:00,LTC/USDT,172.542,179.623,167.599,177.612,47246.84129604,8216226.14639303833
1633996800,2021-10-12 00:00:00,LTC/USDT,179.169,179.202,166.406,172.547,64726.54093412,11130836.51948130215
1633910400,2021-10-11 00:00:00,LTC/USDT,174.731,185.287,172.243,179.257,61027.96144653,10972168.44027960527
1633824000,2021-10-10 00:00:00,LTC/USDT,179.9,183.968,174.002,174.852,52386.40681371,9413760.22595046107
1633737600,2021-10-09 00:00:00,LTC/USDT,176.003,183,174.44,179.87,44105.32579492,7923964.15439366607
