https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1635897600,2021-11-03 00:00:00,BTC/USDT,63221.9,63506.8,60400,62894,7189.0729254,450449274.394736
1635811200,2021-11-02 00:00:00,BTC/USDT,60898,64281.4,60635,63221.9,7904.42163069,495641463.209429
1635724800,2021-11-01 00:00:00,BTC/USDT,61293.9,62440.6,59381.2,60897.5,7994.8764235,489592233.2063
1635638400,2021-10-31 00:00:00,BTC/USDT,61855.9,62397,59964,61293.6,6690.53246045,408215639.504343
1635552000,2021-10-30 00:00:00,BTC/USDT,62253.2,62368,60644,61855.9,4843.74001393,298289856.695517
1635465600,2021-10-29 00:00:00,BTC/USDT,60590.7,62961.9,60193,62253.3,7686.96940269,472894245.607921
1635379200,2021-10-28 00:00:00,BTC/USDT,58408.2,62509,57820,60590.7,11497.5116225,692607986.685894
1635292800,2021-10-27 00:00:00,BTC/USDT,60330.2,61488.2,57963,58408.2,10951.76216266,649228950.460733
1635206400,2021-10-26 00:00:00,BTC/USDT,63082.9,63287.1,59850,60329.6,7083.21685898,439034713.593395
1635120000,2021-10-25 00:00:00,BTC/USDT,60853.9,63710.7,60658.1,63082.8,6855.90269929,429536054.970134
1635033600,2021-10-24 00:00:00,BTC/USDT,61296.2,61487.6,59517.2,60854,6347.26203678,384294281.761592
1634947200,2021-10-23 00:00:00,BTC/USDT,60698.6,61748,59611,61296.2,5726.7403579,349728982.819633
1634860800,2021-10-22 00:00:00,BTC/USDT,62210,63734.9,60011,60699,7920.7081848,491055331.92936
1634774400,2021-10-21 00:00:00,BTC/USDT,66007.2,66663.4,62015.3,62210.1,13446.64232873,863866244.706233
1634688000,2021-10-20 00:00:00,BTC/USDT,64285.4,66985.9,63500,66007.2,9866.21035018,644294797.430194
1634601600,2021-10-19 00:00:00,BTC/USDT,62027.7,64472.4,61324.6,64285.4,11177.27316502,702243691.524464
1634515200,2021-10-18 00:00:00,BTC/USDT,61526.2,62694,59868.3,62027.8,10122.65529179,624039708.741491
1634428800,2021-10-17 00:00:00,BTC/USDT,60878.5,61701,58977,61526.2,6360.1859356,385518488.256849
1634342400,2021-10-16 00:00:00,BTC/USDT,61673.4,62358,60154.4,60878.4,6574.03323818,402479983.156172
1634256000,2021-10-15 00:00:00,BTC/USDT,57344.8,62947.4,56861.8,61673.9,14303.10108925,860666768.867895
1634169600,2021-10-14 00:00:00,BTC/USDT,57367.2,58529.9,56795,57344.9,8171.99928721,471000802.391864
1634083200,2021-10-13 00:00:00,BTC/USDT,56001.1,57764.4,54222.5,57367.2,8390.88650677,470511860.338863
1633996800,2021-10-12 00:00:00,BTC/USDT,57471.9,57670,53889,56004.5,9377.44869964,529269410.618475
1633910400,2021-10-11 00:00:00,BTC/USDT,54663.6,57840,54414.4,57471.9,8509.49678506,482625180.672077
1633824000,2021-10-10 00:00:00,BTC/USDT,54948.5,56505.5,54095,54663.6,7530.77617975,415682780.333082
1633737600,2021-10-09 00:00:00,BTC/USDT,53949.7,55500,53650,54947.7,5550.55627868,303944142.583359
1633651200,2021-10-08 00:00:00,BTC/USDT,53778.6,56138.6,53613,53949.7,7651.65082346,417615286.053019
1633564800,2021-10-07 00:00:00,BTC/USDT,55314.7,55329.4,53376.8,53778.6,10752.3730524,583950349.005944
1633478400,2021-10-06 00:00:00,BTC/USDT,51462.3,55770.5,50386.1,55314.7,11486.42891407,609030484.574289
1633392000,2021-10-05 00:00:00,BTC/USDT,49223.7,51887,49034.7,51462.3,8635.52576385,433273705.755274
1633305600,2021-10-04 00:00:00,BTC/USDT,48204.2,49500,46909,49223.7,10547.59204229,509138223.202244
1633219200,2021-10-03 00:00:00,BTC/USDT,47631.6,49219.4,47099.9,48204.2,6402.40249901,308151904.919733
1633132800,2021-10-02 00:00:00,BTC/USDT,48148.8,48333,47436.1,47631.6,4410.7626061,211051611.642697
1633046400,2021-10-01 00:00:00,BTC/USDT,43819.1,48466.6,43293.6,48144.5,7803.05571118,363416598.93208
1632960000,2021-09-30 00:00:00,BTC/USDT,41529.8,44123,41413,43817.2,5523.72841445,238839823.909448
1632873600,2021-09-29 00:00:00,BTC/USDT,41018.9,42593,40752.1,41536.9,4430.32196559,184926857.314489
1632787200,2021-09-28 00:00:00,BTC/USDT,42137.1,42762.2,40875,41018.9,4930.35077988,206345988.094142
1632700800,2021-09-27 00:00:00,BTC/USDT,43170.6,44357.1,42090.6,42137,4664.1897218,202917520.442335
1632614400,2021-09-26 00:00:00,BTC/USDT,42676.5,43930,40751,43170.6,5337.89083769,227257670.765977
1632528000,2021-09-25 00:00:00,BTC/USDT,42803.8,42969.9,41631.2,42676.6,4355.13841987,185182671.363703
1632441600,2021-09-24 00:00:00,BTC/USDT,44865.6,45144.1,40683,42803.9,9621.77082743,410919062.866759
1632355200,2021-09-23 00:00:00,BTC/USDT,43550.7,44978.2,43064.1,44865.7,5371.73422624,236772551.620665
1632268800,2021-09-22 00:00:00,BTC/USDT,40730.3,44000,40568,43556.4,6328.61560322,269585373.965983
1632182400,2021-09-21 00:00:00,BTC/USDT,43010.4,43648,39571,40730.4,10034.90921846,421193931.210907
1632096000,2021-09-20 00:00:00,BTC/USDT,47242.4,47353.6,42470.5,43018.6,10832.50206904,481199344.779461
1632009600,2021-09-19 00:00:00,BTC/USDT,48294,48366.5,46816.2,47242.5,3934.78015558,187339847.167269
1631923200,2021-09-18 00:00:00,BTC/USDT,47300.3,48800,47030,48294,3567.69106924,172058748.05105
1631836800,2021-09-17 00:00:00,BTC/USDT,47738.6,48139.1,46750.6,47300.3,4304.23330468,204334748.152633
1631750400,2021-09-16 00:00:00,BTC/USDT,48124.3,48520,47012.4,47738.6,4513.31261248,215858424.140404
1631664000,2021-09-15 00:00:00,BTC/USDT,47108.1,48444.2,46693,48124.3,4581.98096023,218201912.834795
1631577600,2021-09-14 00:00:00,BTC/USDT,44938.3,47245.4,44645,47108.8,4812.62856794,222264878.221493
1631491200,2021-09-13 00:00:00,BTC/USDT,46025.5,46852.2,43375,44938.3,7349.33068202,329259916.953539
1631404800,2021-09-12 00:00:00,BTC/USDT,45170.5,46443,44738.1,46025.5,4130.89318869,188488416.76836
1631318400,2021-09-11 00:00:00,BTC/USDT,44850.4,45984,44728,45170.5,4077.01413921,184897662.105578
1631232000,2021-09-10 00:00:00,BTC/USDT,46393,47032,44119.1,44850.3,6238.14750095,285236810.211191
1631145600,2021-09-09 00:00:00,BTC/USDT,46047.6,47392,45488.6,46393.1,5773.34274763,267985685.464281
1631059200,2021-09-08 00:00:00,BTC/USDT,46864,47338.5,44408,46048.1,7277.52729618,335884186.491692
1630972800,2021-09-07 00:00:00,BTC/USDT,52667.2,52920,42478.9,46861.7,12542.16788427,611376305.098302
1630886400,2021-09-06 00:00:00,BTC/USDT,51768,52827.3,50969.3,52667.2,4595.47308147,237997715.285419
1630800000,2021-09-05 00:00:00,BTC/USDT,49902.8,51885.2,49460.9,51768,3909.50809089,197799196.370047
1630713600,2021-09-04 00:00:00,BTC/USDT,50010.9,50548.5,49368,49902.6,3290.90016352,164611825.117532
1630627200,2021-09-03 00:00:00,BTC/USDT,49248.8,51027,48322.5,50011,5689.38477589,284012587.471729
1630540800,2021-09-02 00:00:00,BTC/USDT,48815.3,50380.8,48595,49248.9,5074.7017701,252058688.236956
1630454400,2021-09-01 00:00:00,BTC/USDT,47095.5,49125,46503.8,48815.3,4693.04992712,224376539.339285
1630368000,2021-08-31 00:00:00,BTC/USDT,46981,48248.9,46688.9,47095.5,4456.80469762,210838523.346079
1630281600,2021-08-30 00:00:00,BTC/USDT,48763.2,48869.4,46833.1,46981,5164.10791857,247649040.134431
1630195200,2021-08-29 00:00:00,BTC/USDT,48892,49634.8,47750,48763.2,3663.59402625,178385922.942197
1630108800,2021-08-28 00:00:00,BTC/USDT,49053.7,49286,48350,48890,3254.33980409,159023327.186224
1630022400,2021-08-27 00:00:00,BTC/USDT,46829.4,49164,46344.1,49054.1,4508.67334764,215034437.623055
1629936000,2021-08-26 00:00:00,BTC/USDT,48983.3,49342.3,46275,46829.5,5422.08985861,256433924.285087
1629849600,2021-08-25 00:00:00,BTC/USDT,47662.5,49250,47130,48983.2,4955.54961864,238867867.990864
1629763200,2021-08-24 00:00:00,BTC/USDT,49481.7,49897.1,47567,47662.5,5769.06409098,281234168.386416
1629676800,2021-08-23 00:00:00,BTC/USDT,49232.9,50531.2,49002.8,49478.2,7078.66982677,352804744.524059
1629590400,2021-08-22 00:00:00,BTC/USDT,48821.3,49490,48034,49237.4,5705.20110463,278508768.556341
1629504000,2021-08-21 00:00:00,BTC/USDT,49319.9,49776.4,48195.9,48821.3,6635.9862635,325201390.677251
1629417600,2021-08-20 00:00:00,BTC/USDT,46765.6,49400.4,46632.5,49319.4,7915.8350641,379218742.145828
1629331200,2021-08-19 00:00:00,BTC/USDT,44708.3,47049.2,43925.6,46765.7,7253.81598237,329313825.554691
1629244800,2021-08-18 00:00:00,BTC/USDT,44684.4,46015.3,44206.8,44708.3,9385.036469,423494019.092294
1629158400,2021-08-17 00:00:00,BTC/USDT,45887,47172.9,44390.7,44684.3,10153.62758384,465759379.084492
1629072000,2021-08-16 00:00:00,BTC/USDT,46980.5,48045,45627.7,45887,8152.33972192,382127783.294843
1628985600,2021-08-15 00:00:00,BTC/USDT,47071.4,47377.6,45486.7,46980.4,7538.96655666,349642973.414839
1628899200,2021-08-14 00:00:00,BTC/USDT,47807.7,48151.3,45969.2,47071.4,6501.92478658,305557435.907312
1628812800,2021-08-13 00:00:00,BTC/USDT,44411.3,47891,44222.3,47807.7,8178.02534973,378273659.173368
1628726400,2021-08-12 00:00:00,BTC/USDT,45520.4,46209,43750,44415.2,9021.96448908,404820768.009914
1628640000,2021-08-11 00:00:00,BTC/USDT,45581.5,46740,45337.8,45520.8,7611.35984946,350803776.893362
1628553600,2021-08-10 00:00:00,BTC/USDT,46263.7,46707.6,44632,45581.3,6603.16986028,300838105.00452
1628467200,2021-08-09 00:00:00,BTC/USDT,43792.5,46457,42780,46269,7845.11311519,353748144.73281
1628380800,2021-08-08 00:00:00,BTC/USDT,44574.9,45317.9,43265.5,43792.8,8345.60050629,369925437.347666
1628294400,2021-08-07 00:00:00,BTC/USDT,42839.5,44707.3,42411,44574.4,8389.71456376,365418851.222516
1628208000,2021-08-06 00:00:00,BTC/USDT,40864.5,43376.7,39856.1,42839.6,8605.00430412,357276690.509223
1628121600,2021-08-05 00:00:00,BTC/USDT,39725.3,41350,37304.2,40864.4,10942.48820985,429871959.319923
1628035200,2021-08-04 00:00:00,BTC/USDT,38201.6,39959.4,37500,39719.8,8111.31285721,314458638.230288
1627948800,2021-08-03 00:00:00,BTC/USDT,39147.8,39774,37653.6,38201.7,9288.5027511,356802445.036938
1627862400,2021-08-02 00:00:00,BTC/USDT,39852.1,40468.6,38689,39147.8,7179.10065784,283806454.746578
1627776000,2021-08-01 00:00:00,BTC/USDT,41464,42581.7,39390.1,39852.1,6814.36379395,281739326.814079
1627689600,2021-07-31 00:00:00,BTC/USDT,42202.9,42423.4,41026.4,41464,5900.90723491,245815752.101216
1627603200,2021-07-30 00:00:00,BTC/USDT,40022.4,42308.9,38320,42217.2,7634.61483282,305134414.336571
1627516800,2021-07-29 00:00:00,BTC/USDT,40016.1,40648.9,39255,40022.4,7328.6256963,292111567.139373
1627430400,2021-07-28 00:00:00,BTC/USDT,39465.6,40893,38746.8,40015.5,10022.39273758,399785544.520693
1627344000,2021-07-27 00:00:00,BTC/USDT,37242,39554,36345,39465.5,5662.53372956,214670342.330378
1627257600,2021-07-26 00:00:00,BTC/USDT,35385.1,40569.7,35208,37242.9,14005.47588008,537795117.252444
1627171200,2021-07-25 00:00:00,BTC/USDT,34256.7,35400,33848.3,35388.4,4124.18296697,141970016.812061
1627084800,2021-07-24 00:00:00,BTC/USDT,33634.7,34494.6,33399.9,34256.7,3775.28197007,127958831.13177
1626998400,2021-07-23 00:00:00,BTC/USDT,32289.8,33640,31964,33634.7,3248.74036973,105752206.256703
1626912000,2021-07-22 00:00:00,BTC/USDT,32144.1,32600,31717,32289.7,3146.42471514,101199710.709349
1626825600,2021-07-21 00:00:00,BTC/USDT,29783.6,32844.8,29481.8,32144,6911.48800749,217802130.173663
1626739200,2021-07-20 00:00:00,BTC/USDT,30833.4,31056.4,29272,29782.5,5621.45293025,167764490.427653
1626652800,2021-07-19 00:00:00,BTC/USDT,31778.2,31893,30400,30833.3,3335.89495173,103744972.278919
1626566400,2021-07-18 00:00:00,BTC/USDT,31520.2,32447,31112,31778.1,3325.38259467,105548271.8075
1626480000,2021-07-17 00:00:00,BTC/USDT,31383.4,31950.9,31173.6,31520.2,2846.31356992,89815389.1286312
1626393600,2021-07-16 00:00:00,BTC/USDT,31877.8,32246.9,31026,31389.1,3316.32314459,105188036.470515
1626307200,2021-07-15 00:00:00,BTC/USDT,32819.3,33184,31150,31868.5,4180.08632143,133583939.89374
