https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1634515200,2021-10-18 00:00:00,ETH/USDT,3847.11,3894.28,3663.7,3745.91,85094.17234984,321599300.4101149458
1634428800,2021-10-17 00:00:00,ETH/USDT,3829.96,3919.69,3644,3847.1,79369.20125309,301769564.8026091384
1634342400,2021-10-16 00:00:00,ETH/USDT,3869.9,3970.5,3801.2,3831.24,69816.0344261,271034023.4480306859
1634256000,2021-10-15 00:00:00,ETH/USDT,3791.25,3906.9,3734.5,3869.96,99750.62280715,381216893.8994864392
1634169600,2021-10-14 00:00:00,ETH/USDT,3607.67,3823.82,3587.43,3791.25,86470.78764846,321985039.53231109
1634083200,2021-10-13 00:00:00,ETH/USDT,3490.7,3613.93,3412.01,3607.7,82280.96632182,288059701.4392113354
1633996800,2021-10-12 00:00:00,ETH/USDT,3541.94,3548.66,3402.52,3491.45,84725.77261983,295162911.3688348675
1633910400,2021-10-11 00:00:00,ETH/USDT,3414.45,3622,3371.41,3541.38,86996.95225848,306614938.2789281666
1633824000,2021-10-10 00:00:00,ETH/USDT,3575.74,3604.28,3405,3414.5,78212.64190755,275506598.5396732308
1633737600,2021-10-09 00:00:00,ETH/USDT,3563.26,3635,3538.01,3575.74,47884.2434625,171875018.8095098034
1633651200,2021-10-08 00:00:00,ETH/USDT,3587.71,3683.66,3532,3562.84,83866.0296222,302209117.2980026363
1633564800,2021-10-07 00:00:00,ETH/USDT,3574.03,3654.99,3470.63,3587.72,120135.16515445,429518142.565400495
1633478400,2021-10-06 00:00:00,ETH/USDT,3515.16,3631.3,3340,3573.64,145270.98131075,510830120.4062228583
1633392000,2021-10-05 00:00:00,ETH/USDT,3386.05,3546,3363.68,3515.17,109139.69054242,375964577.387111479
1633305600,2021-10-04 00:00:00,ETH/USDT,3417.8,3437.23,3270.75,3386.05,115385.53256372,388372566.0407378423
1633219200,2021-10-03 00:00:00,ETH/USDT,3387.7,3488.3,3341.73,3417.8,89314.37690034,305089324.540082256
1633132800,2021-10-02 00:00:00,ETH/USDT,3310.7,3468.14,3257.91,3386.73,74857.23587239,251350635.2510958414
1633046400,2021-10-01 00:00:00,ETH/USDT,3000.81,3330,2969.32,3309.59,110977.32279462,354269230.9021496819
1632960000,2021-09-30 00:00:00,ETH/USDT,2849.83,3048.54,2838.04,2999.96,87832.69226786,262352821.8375978883
1632873600,2021-09-29 00:00:00,ETH/USDT,2804.48,2950,2782.89,2850.54,74247.10543806,212924245.767505221
1632787200,2021-09-28 00:00:00,ETH/USDT,2924.75,2969.97,2783.8,2804.19,103855.63853777,299831853.7147082981
1632700800,2021-09-27 00:00:00,ETH/USDT,3059.16,3164.38,2921.58,2924.95,92112.55590854,281233016.2231514069
1632614400,2021-09-26 00:00:00,ETH/USDT,2922.13,3115.2,2738.32,3059.17,90174.47894847,265425818.8121985619
1632528000,2021-09-25 00:00:00,ETH/USDT,2927.33,2967.18,2801.12,2922.12,82454.06551034,239651369.9092528981
1632441600,2021-09-24 00:00:00,ETH/USDT,3152.23,3159.19,2735,2927.35,140295.29739307,410923906.1998115142
1632355200,2021-09-23 00:00:00,ETH/USDT,3077.4,3173.5,3033.69,3152.45,90042.45351083,279838657.9500044618
1632268800,2021-09-22 00:00:00,ETH/USDT,2765.5,3088.98,2738.01,3077.69,110261.65560985,325713946.1519537899
